symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2017-03-14 00:00:00+00:00,64.41,64.55,64.15,64.53,14280202,60.3581336323,60.4893265947,60.1144895593,60.4705847429,14280202,0.0,1.0
MSFT,2017-03-15 00:00:00+00:00,64.75,64.92,64.25,64.55,24833810,60.6767451124,60.8360508525,60.2081988181,60.4893265947,24833810,0.0,1.0
MSFT,2017-03-16 00:00:00+00:00,64.64,64.76,64.3,64.75,20674296,60.5736649277,60.6861160383,60.2550534475,60.6767451124,20674296,0.0,1.0
MSFT,2017-03-17 00:00:00+00:00,64.87,65.24,64.68,64.91,49219686,60.789196223,61.1359204808,60.6111486312,60.8266799266,49219686,0.0,1.0
MSFT,2017-03-20 00:00:00+00:00,64.93,65.175,64.72,64.91,14598083,60.8454217784,61.0750094626,60.6486323348,60.8266799266,14598083,0.0,1.0
MSFT,2017-03-21 00:00:00+00:00,64.21,65.5,64.13,65.19,26640480,60.1707151146,61.3795645539,60.0957477075,61.0890658514,26640480,0.0,1.0
MSFT,2017-03-22 00:00:00+00:00,65.03,65.14,64.12,64.12,20680015,60.9391310372,61.042211222,60.0863767816,60.0863767816,20680015,0.0,1.0
MSFT,2017-03-23 00:00:00+00:00,64.87,65.235,64.765,64.94,19269203,60.789196223,61.1312350179,60.6908015012,60.8547927043,19269203,0.0,1.0
MSFT,2017-03-24 00:00:00+00:00,64.98,65.45,64.76,65.36,22617105,60.8922764078,61.3327099244,60.6861160383,61.2483715915,22617105,0.0,1.0
MSFT,2017-03-27 00:00:00+00:00,65.1,65.22,64.35,64.63,18614662,61.0047275184,61.1171786291,60.301908077,60.5642940018,18614662,0.0,1.0
MSFT,2017-03-28 00:00:00+00:00,65.29,65.47,64.65,64.96,20080358,61.1827751103,61.3514517762,60.5830358536,60.873534556,20080358,0.0,1.0
MSFT,2017-03-29 00:00:00+00:00,65.47,65.5,64.9475,65.12,13618424,61.3514517762,61.3795645539,60.8618208987,61.0234693702,13618424,0.0,1.0
